X,Y
"Технический результат заключается в пониженной теплопередаче, повышении изгибных характеристик панелей.",понижение теплопередачи;
"Согласно настоящему изобретению достигается комбинация низкой плотности и пластичности, требуемых для эксплуатации панели, и гвоздимости с хорошими характеристиками текучести, устойчивостью к воде и улучшенными термическими свойствами, путем применения покрытых частиц вспученного перлита, равномерно распределенных по всей толщине панели.",устойчивость к воде;применение покрытых частиц вспученного перлита;
"Технический результат – эффективная обработка карбонатных пластов за счет длительной активности жидкостей обработки и действия их на глубине пласта, уменьшение необходимых количеств добавок в жидкостях обработки.",эффективная обработка карбонатных пластов;длительная активность жидкостей обработки и действия их на глубине пласта;
Технический результат-повышение морозостойкости.,повышение морозостойкости;
"В частности, целью изобретения было в значительной степени улучшить устойчивость активированного щелочью алюмосиликатного вяжущего при замерзании и оттаивании.",улучшить устойчивость активированного щелочью алюмосиликатного вяжущего при замерзании и оттаивании;
"Фигура 4 представляет собой схему системы для добычи и отделения нефти, которая может быть использована в способе настоящего изобретения.",система для добычи и отделения нефти;
"Фигура 5 представляет собой схему устройства разделения нефти и воды, которое может быть использовано в способе настоящего изобретения.",разделение нефти и воды;
"В способе настоящего изобретения, водную текучую среду с низкой степенью минерализации, которая может быть получена из природного источника или может быть получена путем обработки исходной воды, имеющей содержание TDS больше, чем 10000 ч/млн или больше, чем 5000 ч/млн, как описано выше, можно вводить внутрь нефтеносного пласта.",водная текучая среда с низкой степенью минерализации;обработка исходной воды;
"В результате специальных исследований, проведенных для достижения вышеупомянутых целей, авторы настоящего изобретения выявили возможность получения нешипованной шины как с превосходными характеристиками на льду, так и с превосходной износостойкостью путем смешивания мелкодисперсных частиц конкретного диаметра с определенным поперечно сшиваемым олигомером или полимером.",получение нешипованной шины с превосходными характеристиками на льду;смешивание мелкодисперсных частиц конкретного диаметра с определенным поперечно сшиваемым олигомером или полимером;
Технический результат заключается в удалении загрязнителей окружающей среды из ТСЖТ.,удаление загрязнителей окружающей среды из ТСЖТ;
Другая цель настоящего изобретения состоит в создании машины для внутренней сварки труб в защитном газе.,создание машины для внутренней сварки труб в защитном газе;
Еще одна цель настоящего изобретения состоит в создании машины для внутренней сварки труб в защитном газе.,создание машины для внутренней сварки труб в защитном газе;
Другая цель настоящего изобретения состоит в создании машины для внутренней сварки труб в защитном газе.,создание машины для внутренней сварки труб в защитном газе;
Еще одна цель настоящего изобретения состоит в создании машины для внутренней сварки труб в защитном газе.,создание машины для внутренней сварки труб в защитном газе;
"Технический результат – получение минерального пеноматериала с высокой устойчивостью к оседанию после отливки, с повышенной прочностью на сжатие при пониженной плотности и теплопроводности.",получение минерального пеноматериала с высокой устойчивостью к оседанию после отливки;
Технический результат состоит в повышении надежности приема электромагнитной энергии.,повышение надежности приема электромагнитной энергии;
Задачей изобретения является разработка усовершенствованного способа идентификации капсулы в устройстве для приготовления напитков для обеспечения более надежного и удобного получения или считывания информации с целью регулирования рабочих параметров устройства.,разработка усовершенствованного способа идентификации капсулы в устройстве для приготовления напитков;обеспечение более надежного и удобного получения или считывания информации;
"Технический результат заключается в снижении вредных выбросов двигателя и улучшении термического эффективного коэффициента полезного действия, при использовании раскрытой топливной композиции.",снижение вредных выбросов двигателя;
Изобретение позволяет улучшить перерабатываемость композиции и улучшить характеристику сопротивления качению шины.,улучшить перерабатываемость композиции;
Изобретение позволяет обезопасить здоровье населения и защитить окружающую среду.,обезопасить здоровье населения;
Задача настоящего изобретения состоит в обеспечении улучшенного способа получения металлургического глинозема путем применения летучей золы в качестве сырьевого материала.,обеспечение улучшенного способа получения металлургического глинозема;применение летучей золы в качестве сырьевого материала;
"Таким образом, способ настоящего изобретения является идеальным для конверсии водорослей, поскольку он может осуществляться на исходном сырье из водорослей, которое обычно обезвожено только частично и еще дает высококачественные дизельные и бензиновые углеводороды в качестве конечного продукта.",конверсия водорослей;
"Для эффективного осуществления гидропиролиза в реакторе с псевдоожиженным слоем, как описано в способе настоящего изобретения, катализатор, предпочтительно, имеет следующие характеристики: 1.",эффективное осуществление гидропиролиза в реакторе с псевдоожиженным слоем;
"Вместо этого способ настоящего изобретения, как показано в случаях 1 и 2, дает значительный выход жидких углеводородных продуктов с содержанием кислорода ниже 4% мас.",значительный выход жидких углеводородных продуктов с содержанием кислорода ниже 4% мас;
"Технический результат – предложенная резиновая смесь обладает улучшенными динамическими свойствами по сравнению с известными аналогами, особенно в части уменьшенных гистерезисных потерь при вулканизации.",улучшенные динамические свойства по сравнению с известными аналогами;
"Способ и устройство для переработки углеводородного сырья, спроектированные на базе установки гидрокрекинга в суспензионной фазе, обеспечивают простую технологическую схему нефтепереработки с меньшим числом автономных технологических установок.",переработка углеводородного сырья;установка гидрокрекинга в суспензионной фазе;
"Изобретение позволяет дополнительно снизить концентрацию основных аминосоединений, остающихся в декарбонизированном дымовом газе.",снизить концентрацию основных аминосоединений;
"Настоящее изобретение способно решить указанные выше проблемы и целью изобретения является создание системы для выделения СО2 и способа выделения СО2, которые могут обеспечить дополнительное снижение концентрации остаточных оснóвных аминосоединений, выбрасываемых вместе с декарбонизированным дымовым газом.",создание системы для выделения СО2;
Технический результат - повышение эффективности обработки в средах с высоким значением рН.,повышение эффективности обработки в средах с высоким значением рН;
Технический результат заключается в снижении потерь железа при сборке сердечника трансформатора.,снижение потерь железа при сборке сердечника трансформатора;
"Целью настоящего изобретения является создание листа из текстурированной электротехнической стали, который может еще больше снизить потери в железе материала с помощью канавок, сформированных на нем, для модификации магнитных доменов, и обладает превосходными свойствами низких потерь в железе сборки реального трансформатора наряду с преимущественным способом его изготовления.","создание листа из текстурированной электротехнической стали;с помощью канавок, сформированных на нем;"
Технический результат: получение топлива с низким содержанием серы.,получение топлива с низким содержанием серы;
"Изобретение относится к способам и устройству для производства топлива с очень низким содержанием серы из сырой нефти, остаточных масел нефтепереработки и другого загрязненного жидкого нефтяного сырья.",производство топлива с очень низким содержанием серы из сырой нефти;
"Необходимо решить эти глобальные экологические проблемы, связанные с использованием судового топлива, которые, как считается, уже существуют много лет, и которые не нашли экономически эффективного технического решения.",решить эти глобальные экологические проблемы;
Эти новые способы позволяют упростить цепочку подачи энергии от нефтяного месторождения до судового двигателя или береговой электростанции очень экономически эффективный образом.,упростить цепочку подачи энергии от нефтяного месторождения до судового двигателя;
"Конфигурация площадки по настоящему изобретению позволяет вырабатывать водород для этапов гидроочистки, пар и топливный газ для технологического процесса электроснабжения и технологического процесса электроснабжения посредством высокоэффективных средств выработки электроэнергии с комбинированным циклом, использующих определенные потоки, которые в противном случае были бы потоками отходов, для выполнения технологических требований.","вырабатывать водород для этапов гидроочистки;высокоэффективные средства выработки электроэнергии с комбинированным циклом, использующих определенные потоки;"
"В одном из вариантов осуществления способы данного изобретения включают аэрирование стоков анаэробного ферментера с целью удаления растворенных газов, включая, но без ограничений, диоксид углерода (СО2) и метан (CH4).",аэрирование стоков анаэробного ферментера;
"Поэтому целью данного изобретения является предоставление экономически эффективного способа, который позволяет удалять серусодержащие компоненты из обогащенного диоксидом углерода промышленного газа и направлять их в процесс Клауса таким образом, который позволяет переработать их в устойчивом режиме работы установки Клауса.",удалять серусодержащие компоненты из обогащенного диоксидом углерода промышленного газа;
"Изобретение относится к способу производства нетекстурированной электротехнической стали, в частности, к способу производства нетекстурированной электротехнической стали с высокой магнитной индукцией.",производство нетекстурированной электротехнической стали;
"Задачей изобретения является получение нетекстурированной электротехнической стали с высокой магнитной индукцией, поэтому содержание кремния устанавливается на низком уровне: 0,1~1%.","получение нетекстурированной электротехнической стали с высокой магнитной индукцией;содержание кремния устанавливается на низком уровне: 0,1~1%;"
"Поскольку задачей изобретения является способ производства нетекстурированной электротехнической стали со сверхвысокой магнитной индукцией, содержание кремния и алюминия в составе стали контролируется на достаточно низком уровне.",способ производства нетекстурированной электротехнической стали со сверхвысокой магнитной индукцией;содержание кремния и алюминия в составе стали контролируется на достаточно низком уровне;
"Соответственно этому, цель настоящего изобретения состоит в создании горячекатаного стального листа для спиральношовной стальной трубы с позиции производительности транспортирования, обрабатываемости при сварке в полевых условиях, и так далее, имеющего как высокую ударную вязкость, пригодную для применения в области, где необходимы характеристики высокой устойчивости к излому (в частности, в зоне с холодным климатом), и прочности на уровне стандарта API5L-X80 или выше.",создание горячекатаного стального листа для спиральношовной стальной трубы;
"Для достижения вышеуказанного, цель настоящего изобретения заключается в создании высокопрочного горячекатаного стального листа (горячего рулона) для спиральношовной стальной трубы, и способа, пригодного для экономичного и стабильного изготовления горячекатаного стального листа, в котором доля вязкой составляющей (SA) при испытании DWTT при температуре испытания -20°С составляет 85% или более, показатель разрыва, при котором практически не происходит снижение уровня поглощения энергии, обусловленное возникновением разрыва, отрегулирован на значение 0,06 мм/мм2 или менее, уровень поглощения энергии при возникновении разрыва составляет 240 Дж или более, дополнительно, стандарт API5L-X80 (предел прочности составляет приблизительно от 710 МПа до 740 МПа или более), когда толщина листа составляет 16 мм или более, разъясняются с позиции высокой прочности.",создание высокопрочного горячекатаного стального листа;
"Изобретение позволяет увеличить количество ядер или численной плотности шаровидных выделений в литейных чугунах при добавлении упомянутого модификатора, содержащего оксид висмута.",увеличить количество ядер или численной плотности шаровидных выделений в литейных чугунах;
"Задачей настоящего изобретения является предложить модификатор на основе FeSi, содержащий висмут и не имеющий вышеупомянутых недостатков.","предложение модификатора на основе FeSi, содержащий висмут;"
"Другой задачей настоящего изобретения является предложить модификатор на основе FeSi, имеющий высокое усвоение висмута при производстве модификатора по сравнению с модификаторами предшествующего уровня техники, и не склонный к распаду, каким бы ни было отношение Fe/Si.",предложение модификатора на основе FeSi;
Технический результат заключается в обеспечении интеграции услуг мобильной и спутниковой связи.,обеспечение интеграции услуг мобильной и спутниковой связи;
Технический результат заключается в увеличении скорости абсорбции кислотного газа из газовой смеси.,увеличение скорости абсорбции кислотного газа из газовой смеси;
Композиции согласно настоящему изобретению предназначены для производства высокоплотных буровых растворов для использования бурения при повышенном давлении и текучих сред для глушения скважины в случае проблем с добычей или заканчиванием.,производство высокоплотных буровых растворов для использования бурения при повышенном давлении;
Данный способ позволяет эффективно различить химически-идентичные материалы и распределение углерода в продуктах по источнику (и возможно году роста) компонента биосферы (растения).,эффективно различить химически-идентичные материалы;
"Технический результат - создание зоны стабилизации горения, возможность управления формой пламени, более полное сгорание  текучих сред, регулирование эмиссии.",создание зоны стабилизации горения;
"Технический результат - исключение потерь, вызванных нелинейными эффектами, обеспечение передачи энергии лазерного излучения высокой мощности на большие расстояния без значительной потери мощности.","исключение потерь, вызванных нелинейными эффектами;"
Изобретение направлено на снижение микропор размером 90 мкм в недеформированном полуфабрикате из алюминиевого сплава.,снижение микропор размером 90 мкм в недеформированном полуфабрикате из алюминиевого сплава;
"Технический результат - уменьшение ударного воздействия продукта на демпферную емкость, что обеспечивает уменьшение ее вибрации, а также повышение эффективности разделения газа и твердых частиц.",уменьшение ударного воздействия продукта на демпферную емкость;
"Технический результат - снижение микрорастрескивания, сохранение конечной прочности после отверждения при низкой температуре.",снижение микрорастрескивания;
Изобретение относится к способу извлечения скандия из красных шламов - отходов глиноземного производства.,Извлечение скандия из красных шламов;
Способ позволяет повысить степень извлечения скандия из красного шлама с повышением качества товарного регенерата скандия при сокращении затрат на осуществление способа.,Повысить степень извлечения скандия из красного шлама;
"Данный способ обеспечивает получение более концентрированного (~140 мг/дм3 по Sc2O3) продукционного раствора, что способствует сокращению материальных потоков на стадии осаждения примесных компонентов и скандия с повышением содержания оксида скандия в конечном продукте до 24,5-27,8%.",Сокращение материальных потоков;
"Техническим результатом изобретения является решение поставленной задачи, повышение степени извлечения скандия из красного шлама с повышением качества товарного регенерата скандия при сокращении затрат на осуществление способа.",Повышение степени извлечения скандия из красного шлама;
"Благодаря проведению процесса извлечения скандия из красного шлама с использованием метода сорбционного выщелачивания на фосфорсодеращий ионит при непрерывном контакте ионита с пульпой красного шлама в противоточном режиме и повышенной температуре, при которой происходит разложение бикарбоната натрия с образованием ультрадиспергированного углекислого газа, происходит повышение степени извлечения скандия из красного шлама за счет сдвига равновесия реакции в сторону образования растворимых комплексных соединений скандия с карбонат-ионами.",Повышение степени извлечения скандия из красного шлама;Сдвиг равновесия реакции в сторону образования растворимых комплексных соединений скандия с карбонат-ионами;
Технический результат - повышение плотности и прочности.,Повышение плотности и прочности;
"Изобретение относится к области ударного бурения, а именно к устройству для соединения хвостовика долота для ударного бурения по твердым породам.",Устройство для соединения хвостовика долота для ударного бурения по твердым породам;
"Изобретение относится к плавсредствам, обеспечивающим придание мореходных качеств танкам и новых мореходных качеств плавающим бронемашинам с целью расширения их функциональных возможностей.",Придание мореходных качеств танкам и новых мореходных качеств плавающим бронемашинам;
"Технический результат, который может быть достигнут при реализации предлагаемого изобретения, заключается в повышении мореходных, боевых, защитных и эксплуатационных качеств плавающих бронемашин с целью расширения функциональных возможностей, в том числе десантирования, ведения боевых и охранных действий в прибрежной двухсоткилометровой зоне.","Повышение мореходных, боевых, защитных и эксплуатационных качеств плавающих бронемашин;"
Изобретение предназначено для улучшения магнитных свойств стали при увеличении интенсивности обжатий.,Улучшения магнитных свойств стали;
"Цель настоящего изобретения состоит в том, чтобы создать способ производства электротехнической листовой стали с ориентированной структурой, который решает эту задачу.",Производство электротехнической листовой стали с ориентированной структурой;
"Настоящее изобретение относится к способу получения 1,2-алкиленкарбоната.","Получение 1, 2-алкиленкарбоната;"
Технический результат - повышение жаростойкости бетона.,Повышение жаростойкости бетона;
Настоящее изобретение относится к способу и устройству облагораживания топлива для снижения расхода топлива в двигателе внутреннего сгорания.,Облагораживание топлива;
"Изобретение относится к горелкам, которые применяются в способах формирования минеральных волокон и в которых вытягивание этих волокон является следствием только лишь течений газовых потоков, производимых упомянутыми горелками.",Формирование минеральных волокон;
Изобретение относится к области гидрометаллургии благородных металлов и может быть использовано для извлечения золота из медистых руд методом кучного выщелачивания.,Извлечение золота из медистых руд;Метод кучного выщелачивания;
"Задачей настоящего изобретения являлась разработка способа, с помощью которого можно получить N,N-(ди)алкиламиноалкил(мет)акриламиды или N,N-(ди)алкиламиноалкил(мет)акрилат и их четвертичные аммониевые соли, обладающие низким содержанием соединений формулы (IV).","Получить N,N-(ди)алкиламиноалкил(мет)акриламиды или N, N-(ди)алкиламиноалкил(мет)акрила;"
Техническим результатом является повышение защищенности членов экипажа.,Повышение защищенности членов экипажа;
Задачей настоящего изобретения является упрощение схемы переработки вышеуказанных катализаторов и снижение расхода материальных ресурсов на их переработку.,Упрощение схемы переработки катализаторов;
"В частности, данное изобретение относится к композиционной тормозной колодке для восстановления поверхности обода колеса во время нормального применения тормоза в рельсовом транспортном средстве.",Восстановление поверхности обода колеса;
"Изобретение относится к технологии неорганических веществ и может быть использовано при проведении синтеза фторсодержащих хладагентов, в производстве гексафторида урана.",Проведение синтеза фторсодержащих хладагентов;
"Изобретение позволяет извлекать фторид водорода из его смесей с водой, в том числе из азеотропных смесей, с использованием большего ассортимента веществ, применяемых в качестве восстановителей, при снижении образующихся отходов и стадий процесса, исключить использование сыпучих веществ.",Извлечь фторид водорода из его смесей с водой;
"Технический результат - нанесение покрытий с малым отскоком материала для нанесения покрытия от основания и, следовательно, уменьшение количества отходов и одновременно получение твердых покрытий, которые по своим свойствам не уступают твердым покрытиям, получаемым механизированными способами с использованием сжатого воздуха, подаваемого с коэффициентами его расхода от 144 до 240.",Уменьшение количества отходов и получение твердых покрытий;
Технический результат - повышение эффективности способа обработки с возможностью получения асфальта в твердой форме с очень высокой точкой размягчения.,повышение эффективности способа обработки;
"Одной целью изобретения является повышение эффективности способа обработки за счет отказа от самостоятельной стадии отпарки асфальта, которая обычно проводится на оборудовании, склонном к засорению.",Повышение эффективности способа обработки;Отказ от самостоятельной стадии отпарки асфальта;
"Задача настоящего изобретения заключается в создании системы обеспечения безопасности бытовой стиральной машины для химической чистки, основанной на контроле концентрации газообразного растворителя и своевременном информировании пользователя о выполнении программы.",Обеспечение безопасности бытовой стиральной машины для химической чистки;Контроль концентрации газообразного растворителя и своевременное информирование пользователя о выполнении программы;
Главной целью данного изобретения является обеспечить одностадийный каталитический способ конверсии н-парафинов и нафты в углеводороды дизельного интервала.,Обеспечить одностадийный каталитический способ конверсии н-парафинов и нафты в углеводороды дизельного интервала;
"Технический результат состоит в повышении качества сваренных деталей за счет предотвращения накапливания материала от предварительного покрытия на крае зоны удаления, создающего нарост материала от предварительного покрытия на этом краю.",Повышение качества сваренных деталей;Предотвращение накапливания материала от предварительного покрытия на крае зоны удаления;
"Настоящее изобретение относится к прокатанному листовому металлу и обработке его поверхности, а более конкретно к способам и устройству для получения заданных текстур поверхности, имеющих соответствующие фрикционные и оптические свойства, таких как изотропная поверхность на алюминиевом листе.","Получение заданных текстур поверхности,имеющих соответствующие фрикционные и оптические свойства;"
"Поэтому целью изобретения является обеспечение возможностей, при которых можно получить улучшенные поверхности при плазменной резке, не требующие какой-либо дополнительной обработки или, по меньшей мере, требующие только небольшой дополнительной обработки.",Получить улучшенные поверхности при плазменной резке;
"Настоящее изобретение относится к листу текстурованной электротехнической стали (анизотропной стали с ориентированной зеренной структурой), в котором выполняют обработку лазером в области на одной концевой стороне стального листа по направлению ширины, и к способу изготовления листа текстурованной электротехнической стали.",Изготовление листа текстурованной электротехнической стали;
Техническим результатом изобретения является повышение степени извлечения ванадия из слабокислых растворов.,Повышение степени извлечения ванадия из слабокислых растворов;
Изобретение обеспечивает подавление выделения оксида азота и значительное уменьшение количества выбросов в окружающую среду.,Подавление выделения оксида азота и значительное уменьшение количества выбросов в окружающую среду;
"Технической задачей, на решение которой направлено предлагаемое изобретение, является увеличение скорости отстаивания и фильтрации и снижение содержания взвешенных веществ в растворе, образующемся при кислотном выщелачивании.","Увеличение скорости отстаивания и фильтрации и снижение содержания взвешенных веществ в растворе, образующемся при кислотном выщелачивании;"
